idfish,idfisher,species,date,length,tide,next.tide,tide.classification,hour.catch,date.catch,min.temp,max.temp,rain.mm,max.wind.direction,max.wind.speed,max.wind.speed.time,nine.am.wind.direction,nine.am.wind.speed,three.pm.wind.direction,three.pm.wind.speed
14048,401,BARRAMUNDI,2019-01-18 07:55:00,750,3.98,1.09,top,7,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14049,2895,BARRAMUNDI,2019-01-18 08:37:00,780,3.7,1.09,top,8,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14051,728,BARRAMUNDI,2019-01-18 06:35:00,690,4.13,4.15,top,6,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14059,728,BARRAMUNDI,2019-01-18 09:40:00,730,2.86,1.09,falling,9,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14060,513,BARRAMUNDI,2019-01-18 10:30:00,530,2.38,1.09,falling,10,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14061,728,BARRAMUNDI,2019-01-18 08:02:00,780,3.86,1.09,top,8,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14067,513,BARRAMUNDI,2019-01-18 10:54:00,740,1.93,1.09,falling,10,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14069,308,BARRAMUNDI,2019-01-18 11:01:00,745,1.93,1.09,falling,11,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14090,3072,BARRAMUNDI,2019-01-18 07:11:00,750,4.13,1.09,top,7,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14103,3072,BARRAMUNDI,2019-01-18 11:07:00,730,1.93,1.09,falling,11,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14105,3072,BARRAMUNDI,2019-01-18 09:55:00,530,2.86,1.09,falling,9,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14108,3078,BARRAMUNDI,2019-01-18 07:41:00,540,4.08,1.09,top,7,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14126,3080,BARRAMUNDI,2019-01-18 08:49:00,730,3.52,1.09,falling,8,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
14127,728,BARRAMUNDI,2019-01-18 08:09:00,730,3.86,1.09,falling,8,2019-01-18,22.9,30.7,0,ENE,43,12:21,E,20,ENE,26
